| Letter | Occurrences | Percentage |
| ------ | ----------- | ---------- |
| E      | 562         |   11.409 % |
| T      | 467         |    9.480 % |
| I      | 428         |    8.689 % |
| A      | 423         |    8.587 % |
| O      | 396         |    8.039 % |
| S      | 356         |    7.227 % |
| U      | 344         |    6.983 % |
| M      | 299         |    6.070 % |
| R      | 292         |    5.928 % |
| L      | 277         |    5.623 % |
| D      | 246         |    4.994 % |
| N      | 242         |    4.913 % |
| C      | 137         |    2.781 % |
| P      | 104         |    2.111 % |
| G      | 77          |    1.563 % |
| V      | 67          |    1.360 % |
| B      | 52          |    1.056 % |
| Q      | 38          |    0.771 % |
| Y      | 28          |    0.568 % |
| K      | 24          |    0.487 % |
| F      | 22          |    0.447 % |
| J      | 12          |    0.244 % |
| H      | 11          |    0.223 % |
| Z      | 10          |    0.203 % |
| X      | 8           |    0.162 % |
| W      | 4           |    0.081 % |
